GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0071840,cellular component organization or bioge...,6181,241,137.36,3.5e-24,1.6842e-20,1.2270600000000001e-20,1.75,BP
GO:0006996,organelle organization,3599,170,79.98,5.1e-24,2.4541200000000002e-20,1.2270600000000001e-20,2.13,BP
GO:0016043,cellular component organization,6004,233,133.43,9.7e-23,4.66764e-19,1.55588e-19,1.75,BP
GO:0051128,regulation of cellular component organiz...,2590,126,57.56,4.0e-18,1.9248e-14,4.812e-15,2.19,BP
GO:0007010,cytoskeleton organization,1323,83,29.4,5.3e-18,2.55036e-14,5.10072e-15,2.82,BP
GO:0009987,cellular process,15679,418,348.44,8.8e-16,4.23456e-12,7.0576e-13,1.2,BP
GO:0044260,cellular macromolecule metabolic process,7120,239,158.23,6.9e-15,3.32028e-11,4.743257142857143e-12,1.51,BP
GO:0043170,macromolecule metabolic process,8366,268,185.92,8.7e-15,4.18644e-11,5.23305e-12,1.44,BP
GO:0006807,nitrogen compound metabolic process,8802,276,195.61,3.6e-14,1.73232e-10,1.9247999999999997e-11,1.41,BP
GO:0044237,cellular metabolic process,9392,289,208.72,4.3e-14,2.0691599999999999e-10,1.9685454545454542e-11,1.38,BP
GO:0044085,cellular component biogenesis,3057,130,67.94,4.5e-14,2.1653999999999998e-10,1.9685454545454542e-11,1.91,BP
GO:0007017,microtubule-based process,770,54,17.11,7.9e-14,3.80148e-10,3.1679e-11,3.16,BP
GO:0044238,primary metabolic process,9317,286,207.05,1.1e-13,5.2932e-10,4.0716923076923076e-11,1.38,BP
GO:0033043,regulation of organelle organization,1260,72,28,1.3e-13,6.2556e-10,4.4682857142857144e-11,2.57,BP
GO:0022607,cellular component assembly,2829,122,62.87,1.4e-13,6.7368e-10,4.491200000000001e-11,1.94,BP
GO:0031323,regulation of cellular metabolic process,5454,193,121.21,2.1e-13,1.01052e-9,6.31575e-11,1.59,BP
GO:0034641,cellular nitrogen compound metabolic pro...,5536,194,123.03,4.6e-13,2.2135199999999996e-9,1.302070588235294e-10,1.58,BP
