GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0009161,ribonucleoside monophosphate metabolic p...,275,39,4.61,7.9e-25,3.80148e-21,3.80148e-21,8.46,BP
GO:0046034,ATP metabolic process,246,37,4.12,1.6e-24,7.6992e-21,3.8496e-21,8.98,BP
GO:0009123,nucleoside monophosphate metabolic proce...,284,39,4.76,2.7e-24,1.2992400000000001e-20,4.3308e-21,8.19,BP
GO:0009167,purine ribonucleoside monophosphate meta...,271,38,4.54,4.9e-24,2.35788e-20,5.38944e-21,8.37,BP
GO:0009126,purine nucleoside monophosphate metaboli...,272,38,4.56,5.6e-24,2.6947200000000002e-20,5.38944e-21,8.33,BP
GO:0009205,purine ribonucleoside triphosphate metab...,271,37,4.54,5.2e-23,2.50224e-19,4.1704e-20,8.15,BP
GO:0009199,ribonucleoside triphosphate metabolic pr...,275,37,4.61,8.8e-23,4.23456e-19,6.049371428571428e-20,8.03,BP
GO:0009144,purine nucleoside triphosphate metabolic...,279,37,4.67,1.5e-22,7.218e-19,9.0225e-20,7.92,BP
GO:0009141,nucleoside triphosphate metabolic proces...,295,37,4.94,1.0e-21,4.8119999999999995e-18,5.346666666666665e-19,7.49,BP
GO:1901564,organonitrogen compound metabolic proces...,6107,187,102.29,1.8e-21,8.6616e-18,8.661599999999999e-19,1.83,BP
GO:0017144,drug metabolic process,727,53,12.18,1.3e-19,6.255600000000001e-16,5.552307692307692e-17,4.35,BP
GO:0019637,organophosphate metabolic process,957,61,16.03,1.4e-19,6.7368e-16,5.552307692307692e-17,3.81,BP
GO:0044237,cellular metabolic process,9392,241,157.32,1.5e-19,7.218e-16,5.552307692307692e-17,1.53,BP
GO:0009259,ribonucleotide metabolic process,431,41,7.22,2.0e-19,9.624e-16,6.874285714285714e-17,5.68,BP
GO:0009117,nucleotide metabolic process,556,46,9.31,3.0e-19,1.4436e-15,9.624e-17,4.94,BP
GO:0006753,nucleoside phosphate metabolic process,564,46,9.45,5.3e-19,2.55036e-15,1.593975e-16,4.87,BP
GO:0009150,purine ribonucleotide metabolic process,421,40,7.05,6.0e-19,2.8872e-15,1.6983529411764705e-16,5.67,BP
GO:0019693,ribose phosphate metabolic process,448,41,7.5,8.2e-19,3.94584e-15,2.1921333333333332e-16,5.47,BP
GO:0009987,cellular process,15679,327,262.62,1.5e-18,7.218e-15,3.7989473684210527e-16,1.25,BP
GO:0008152,metabolic process,10362,254,173.56,2.0e-18,9.624e-15,4.812e-16,1.46,BP
GO:0006163,purine nucleotide metabolic process,446,40,7.47,4.6e-18,2.21352e-14,1.054057142857143e-15,5.35,BP
GO:0055086,nucleobase-containing small molecule met...,631,47,10.57,8.1e-18,3.89772e-14,1.771690909090909e-15,4.45,BP
GO:0051641,cellular localization,2629,104,44.04,1.1e-17,5.2932e-14,2.301391304347826e-15,2.36,BP
GO:0072521,purine-containing compound metabolic pro...,492,41,8.24,2.4e-17,1.15488e-13,4.812e-15,4.98,BP
GO:0006807,nitrogen compound metabolic process,8802,225,147.43,5.3e-17,2.55036e-13,1.020144e-14,1.53,BP
GO:0006091,generation of precursor metabolites and ...,385,35,6.45,4.2e-16,2.02104e-12,7.77323076923077e-14,5.43,BP
GO:0044238,primary metabolic process,9317,231,156.06,5.7e-16,2.74284e-12,1.0158666666666667e-13,1.48,BP
GO:0008104,protein localization,2633,100,44.1,9.1e-16,4.37892e-12,1.5639e-13,2.27,BP
GO:0006518,peptide metabolic process,749,48,12.55,1.3e-15,6.2556e-12,2.1571034482758624e-13,3.82,BP
GO:0042775,mitochondrial ATP synthesis coupled elec...,59,16,0.99,1.6e-15,7.6992e-12,2.5664e-13,16.16,BP
GO:0033036,macromolecule localization,2958,107,49.55,1.7e-15,8.1804e-12,2.6388387096774195e-13,2.16,BP
GO:0051179,localization,5896,168,98.76,2.7e-15,1.2992400000000001e-11,3.9370909090909093e-13,1.7,BP
GO:0034641,cellular nitrogen compound metabolic pro...,5536,161,92.73,2.7e-15,1.2992400000000001e-11,3.9370909090909093e-13,1.74,BP
GO:0051234,establishment of localization,4469,139,74.86,4.3e-15,2.0691599999999998e-11,6.085764705882352e-13,1.86,BP
GO:0006810,transport,4327,136,72.48,4.5e-15,2.1654e-11,6.11254054054054e-13,1.88,BP
GO:0071704,organic substance metabolic process,9887,238,165.61,4.6e-15,2.21352e-11,6.11254054054054e-13,1.44,BP
GO:0022900,electron transport chain,87,18,1.46,4.7e-15,2.2616399999999998e-11,6.11254054054054e-13,12.33,BP
GO:0042773,ATP synthesis coupled electron transport,63,16,1.06,4.9e-15,2.35788e-11,6.204947368421053e-13,15.09,BP
GO:0006119,oxidative phosphorylation,101,19,1.69,5.2e-15,2.50224e-11,6.416e-13,11.24,BP
GO:0006796,phosphate-containing compound metabolic ...,2963,106,49.63,5.4e-15,2.5984800000000002e-11,6.4962e-13,2.14,BP
GO:0034613,cellular protein localization,1709,75,28.63,7.0e-15,3.3684e-11,8.21560975609756e-13,2.62,BP
GO:0006793,phosphorus metabolic process,2985,106,50,8.8e-15,4.2345599999999994e-11,1.0082285714285714e-12,2.12,BP
GO:0045333,cellular respiration,168,23,2.81,9.3e-15,4.47516e-11,1.0389545454545455e-12,8.19,BP
GO:0070727,cellular macromolecule localization,1719,75,28.79,9.5e-15,4.5714000000000005e-11,1.0389545454545455e-12,2.61,BP
GO:0065008,regulation of biological quality,4092,130,68.54,1.2e-14,5.7743999999999995e-11,1.2832e-12,1.9,BP
GO:0015985,"energy coupled proton transport, down el...",22,11,0.37,1.5e-14,7.217999999999999e-11,1.5357446808510636e-12,29.73,BP
GO:0015986,ATP synthesis coupled proton transport,22,11,0.37,1.5e-14,7.217999999999999e-11,1.5357446808510636e-12,29.73,BP
GO:0044085,cellular component biogenesis,3057,107,51.2,1.7e-14,8.1804e-11,1.70425e-12,2.09,BP
GO:0071840,cellular component organization or bioge...,6181,171,103.53,2.2e-14,1.05864e-10,2.1604897959183674e-12,1.65,BP
GO:0022904,respiratory electron transport chain,83,17,1.39,3.3e-14,1.58796e-10,3.1759199999999997e-12,12.23,BP
GO:0051649,establishment of localization in cell,1933,79,32.38,5.3e-14,2.55036e-10,4.997076923076923e-12,2.44,BP
GO:0015980,energy derivation by oxidation of organi...,262,27,4.39,5.4e-14,2.5984799999999997e-10,4.997076923076923e-12,6.15,BP
GO:1901566,organonitrogen compound biosynthetic pro...,1564,69,26.2,8.3e-14,3.99396e-10,7.53577358490566e-12,2.63,BP
GO:0034622,cellular protein-containing complex asse...,1000,53,16.75,9.2e-14,4.42704e-10,8.198222222222223e-12,3.16,BP
GO:1902600,proton transmembrane transport,90,17,1.51,1.4e-13,6.7368e-10,1.2248727272727272e-11,11.26,BP
GO:0022607,cellular component assembly,2829,99,47.39,2.5e-13,1.2029999999999999e-9,2.1482142857142857e-11,2.09,BP
GO:0043933,protein-containing complex subunit organ...,1969,78,32.98,4.0e-13,1.9248000000000002e-9,3.376842105263158e-11,2.37,BP
GO:0016043,cellular component organization,6004,164,100.57,4.3e-13,2.06916e-9,3.5675172413793106e-11,1.63,BP
GO:0065003,protein-containing complex assembly,1740,72,29.15,5.0e-13,2.4059999999999998e-9,4.0779661016949155e-11,2.47,BP
GO:0055114,oxidation-reduction process,878,48,14.71,5.1e-13,2.4541200000000002e-09,4.0902000000000006e-11,3.26,BP
GO:0046907,intracellular transport,1523,66,25.51,7.3e-13,3.51276e-9,5.758622950819673e-11,2.59,BP
GO:1901135,carbohydrate derivative metabolic proces...,1003,51,16.8,1.4e-12,6.7368e-9,1.052625e-10,3.04,BP
GO:0045184,establishment of protein localization,1896,75,31.76,1.4e-12,6.7368e-9,1.052625e-10,2.36,BP
GO:0043603,cellular amide metabolic process,970,50,16.25,1.4e-12,6.7368e-9,1.052625e-10,3.08,BP
GO:0006412,translation,572,37,9.58,2.3e-12,1.10676e-8,1.7027076923076925e-10,3.86,BP
GO:0044281,small molecule metabolic process,1760,71,29.48,2.5e-12,1.203e-8,1.8227272727272725e-10,2.41,BP
GO:0032880,regulation of protein localization,1057,52,17.7,2.8e-12,1.34736e-8,2.0109850746268658e-10,2.94,BP
