GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0044237,cellular metabolic process,9392,1032,678.45, 1e-30,4.812e-27,1.1190697674418607e-28,1.52,BP
GO:0008152,metabolic process,10362,1084,748.52, 1e-30,4.812e-27,1.1190697674418607e-28,1.45,BP
GO:0006807,nitrogen compound metabolic process,8802,960,635.83, 1e-30,4.812e-27,1.1190697674418607e-28,1.51,BP
GO:0044238,primary metabolic process,9317,984,673.04, 1e-30,4.812e-27,1.1190697674418607e-28,1.46,BP
GO:1901564,organonitrogen compound metabolic proces...,6107,736,441.15, 1e-30,4.812e-27,1.1190697674418607e-28,1.67,BP
GO:0071704,organic substance metabolic process,9887,1022,714.21, 1e-30,4.812e-27,1.1190697674418607e-28,1.43,BP
GO:0034641,cellular nitrogen compound metabolic pro...,5536,660,399.91, 1e-30,4.812e-27,1.1190697674418607e-28,1.65,BP
GO:0009987,cellular process,15679,1357,1132.61, 1e-30,4.812e-27,1.1190697674418607e-28,1.2,BP
GO:0006518,peptide metabolic process,749,179,54.11, 1e-30,4.812e-27,1.1190697674418607e-28,3.31,BP
GO:0044267,cellular protein metabolic process,4573,565,330.34, 1e-30,4.812e-27,1.1190697674418607e-28,1.71,BP
GO:0071840,cellular component organization or bioge...,6181,698,446.5, 1e-30,4.812e-27,1.1190697674418607e-28,1.56,BP
GO:0034613,cellular protein localization,1709,286,123.45, 1e-30,4.812e-27,1.1190697674418607e-28,2.32,BP
GO:0051641,cellular localization,2629,380,189.91, 1e-30,4.812e-27,1.1190697674418607e-28,2,BP
GO:0006412,translation,572,147,41.32, 1e-30,4.812e-27,1.1190697674418607e-28,3.56,BP
GO:0070727,cellular macromolecule localization,1719,286,124.18, 1e-30,4.812e-27,1.1190697674418607e-28,2.3,BP
GO:0043043,peptide biosynthetic process,595,147,42.98, 1e-30,4.812e-27,1.1190697674418607e-28,3.42,BP
GO:0043603,cellular amide metabolic process,970,196,70.07, 1e-30,4.812e-27,1.1190697674418607e-28,2.8,BP
GO:0016043,cellular component organization,6004,671,433.71, 1e-30,4.812e-27,1.1190697674418607e-28,1.55,BP
GO:0044260,cellular macromolecule metabolic process,7120,757,514.33, 1e-30,4.812e-27,1.1190697674418607e-28,1.47,BP
GO:0043170,macromolecule metabolic process,8366,850,604.34, 1e-30,4.812e-27,1.1190697674418607e-28,1.41,BP
GO:0043604,amide biosynthetic process,701,158,50.64, 1e-30,4.812e-27,1.1190697674418607e-28,3.12,BP
GO:0019538,protein metabolic process,5210,597,376.36, 1e-30,4.812e-27,1.1190697674418607e-28,1.59,BP
GO:0034622,cellular protein-containing complex asse...,1000,193,72.24, 1e-30,4.812e-27,1.1190697674418607e-28,2.67,BP
GO:0065003,protein-containing complex assembly,1740,275,125.69, 1e-30,4.812e-27,1.1190697674418607e-28,2.19,BP
GO:0008104,protein localization,2633,362,190.2, 1e-30,4.812e-27,1.1190697674418607e-28,1.9,BP
GO:0043933,protein-containing complex subunit organ...,1969,296,142.24, 1e-30,4.812e-27,1.1190697674418607e-28,2.08,BP
GO:0044085,cellular component biogenesis,3057,398,220.83, 1e-30,4.812e-27,1.1190697674418607e-28,1.8,BP
GO:0046907,intracellular transport,1523,245,110.02, 1e-30,4.812e-27,1.1190697674418607e-28,2.23,BP
GO:0006996,organelle organization,3599,444,259.98, 1e-30,4.812e-27,1.1190697674418607e-28,1.71,BP
GO:0033036,macromolecule localization,2958,385,213.68, 1e-30,4.812e-27,1.1190697674418607e-28,1.8,BP
GO:0006091,generation of precursor metabolites and ...,385,104,27.81, 1e-30,4.812e-27,1.1190697674418607e-28,3.74,BP
GO:0051649,establishment of localization in cell,1933,284,139.63, 1e-30,4.812e-27,1.1190697674418607e-28,2.03,BP
GO:0045333,cellular respiration,168,67,12.14, 1e-30,4.812e-27,1.1190697674418607e-28,5.52,BP
GO:1901566,organonitrogen compound biosynthetic pro...,1564,245,112.98, 1e-30,4.812e-27,1.1190697674418607e-28,2.17,BP
GO:0009161,ribonucleoside monophosphate metabolic p...,275,86,19.87, 1e-30,4.812e-27,1.1190697674418607e-28,4.33,BP
GO:0046034,ATP metabolic process,246,81,17.77, 1e-30,4.812e-27,1.1190697674418607e-28,4.56,BP
GO:0022900,electron transport chain,87,48,6.28, 1e-30,4.812e-27,1.1190697674418607e-28,7.64,BP
GO:0022607,cellular component assembly,2829,367,204.36, 1e-30,4.812e-27,1.1190697674418607e-28,1.8,BP
GO:0009167,purine ribonucleoside monophosphate meta...,271,84,19.58, 1e-30,4.812e-27,1.1190697674418607e-28,4.29,BP
GO:0009123,nucleoside monophosphate metabolic proce...,284,86,20.52, 1e-30,4.812e-27,1.1190697674418607e-28,4.19,BP
GO:0009126,purine nucleoside monophosphate metaboli...,272,84,19.65, 1e-30,4.812e-27,1.1190697674418607e-28,4.27,BP
GO:0022904,respiratory electron transport chain,83,46,6, 1e-30,4.812e-27,1.1190697674418607e-28,7.67,BP
GO:0009205,purine ribonucleoside triphosphate metab...,271,83,19.58, 1e-30,4.812e-27,1.1190697674418607e-28,4.24,BP
GO:0009144,purine nucleoside triphosphate metabolic...,279,84,20.15,1.2e-30,5.7743999999999994e-27,1.3123636363636363e-28,4.17,BP
GO:0042775,mitochondrial ATP synthesis coupled elec...,59,39,4.26,1.3e-30,6.2556e-27,1.3901333333333334e-28,9.15,BP
GO:0009199,ribonucleoside triphosphate metabolic pr...,275,83,19.87,2.2e-30,1.05864e-26,2.3013913043478256e-28,4.18,BP
GO:0042773,ATP synthesis coupled electron transport,63,40,4.55,2.5e-30,1.203e-26,2.559574468085106e-28,8.79,BP
GO:0045184,establishment of protein localization,1896,272,136.96,6.6e-30,3.1759200000000005e-26,6.6165000000000005e-28,1.99,BP
