GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0006518,peptide metabolic process,749,24,4.21,3.7e-12,1.78044e-8,1.78044e-8,5.7,BP
GO:0006412,translation,572,21,3.21,7.8e-12,3.75336e-8,1.87668e-8,6.54,BP
GO:0043043,peptide biosynthetic process,595,21,3.34,1.6e-11,7.699199999999999e-8,2.5664e-8,6.29,BP
GO:0043604,amide biosynthetic process,701,21,3.94,3.3e-10,1.58796e-6,3.9699e-7,5.33,BP
GO:0071840,cellular component organization or bioge...,6181,67,34.71,5.6e-10,2.6947200000000003e-6,5.38944e-7,1.93,BP
GO:0043603,cellular amide metabolic process,970,24,5.45,7.4e-10,3.56088e-6,5.9348e-7,4.4,BP
GO:0051128,regulation of cellular component organiz...,2590,40,14.54,9.3e-10,4.47516e-6,6.393085714285715e-7,2.75,BP
GO:0048699,generation of neurons,1687,31,9.47,2.4e-09,1.15488e-5,1.4436e-6,3.27,BP
GO:0044238,primary metabolic process,9317,84,52.31,3.5e-09,1.6842e-5,1.8713333333333332e-6,1.61,BP
GO:0016043,cellular component organization,6004,64,33.71,4.5e-09,2.1654e-5,1.9248e-6,1.9,BP
GO:0009058,biosynthetic process,5115,58,28.72,4.6e-09,2.2135199999999998e-5,1.9248e-6,2.02,BP
GO:0044260,cellular macromolecule metabolic process,7120,71,39.98,4.8e-09,2.30976e-5,1.9248e-6,1.78,BP
GO:1901576,organic substance biosynthetic process,5019,57,28.18,6.8e-09,3.2721599999999995e-5,2.5170461538461535e-6,2.02,BP
GO:0022008,neurogenesis,1793,31,10.07,1.0e-08,4.812e-5,3.437142857142857e-6,3.08,BP
GO:0009059,macromolecule biosynthetic process,4105,50,23.05,1.1e-08,5.2931999999999994e-5,3.5288e-6,2.17,BP
GO:0034641,cellular nitrogen compound metabolic pro...,5536,60,31.08,1.2e-08,5.7744e-5,3.609e-6,1.93,BP
GO:0006996,organelle organization,3599,46,20.21,1.4e-08,6.7368e-5,3.9628235294117644e-06,2.28,BP
GO:0044237,cellular metabolic process,9392,83,52.73,1.7e-08,8.1804e-5,4.5446666666666665e-6,1.57,BP
GO:0044267,cellular protein metabolic process,4573,53,25.68,1.8e-08,8.6616e-5,4.558736842105263e-6,2.06,BP
GO:0048518,positive regulation of biological proces...,6114,63,34.33,2.8e-08,1.34736e-4,6.645142857142857e-6,1.84,BP
