GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0031967,organelle envelope,1063,234,77.27,1.00E-30,6.30E-28,1.34E-29,3.03,CC
GO:0031975,envelope,1064,234,77.34,1.00E-30,6.30E-28,1.34E-29,3.03,CC
GO:0044429,mitochondrial part,851,220,61.86,1.00E-30,6.30E-28,1.34E-29,3.56,CC
GO:0005740,mitochondrial envelope,663,189,48.2,1.00E-30,6.30E-28,1.34E-29,3.92,CC
GO:0031966,mitochondrial membrane,619,179,45,1.00E-30,6.30E-28,1.34E-29,3.98,CC
GO:0006518,peptide metabolic process,749,179,54.11,1.00E-30,4.81E-27,1.12E-28,3.31,BP
GO:0019866,organelle inner membrane,489,158,35.55,1.00E-30,6.30E-28,1.34E-29,4.44,CC
GO:0043604,amide biosynthetic process,701,158,50.64,1.00E-30,4.81E-27,1.12E-28,3.12,BP
GO:0005743,mitochondrial inner membrane,446,156,32.42,1.00E-30,6.30E-28,1.34E-29,4.81,CC
GO:0006412,translation,572,147,41.32,1.00E-30,4.81E-27,1.12E-28,3.56,BP
GO:0043043,peptide biosynthetic process,595,147,42.98,1.00E-30,4.81E-27,1.12E-28,3.42,BP
GO:0098798,mitochondrial protein complex,266,116,19.34,1.00E-30,6.30E-28,1.34E-29,6,CC
GO:0007005,mitochondrion organization,468,110,33.81,3.10E-29,1.49E-25,2.98E-27,3.25,BP
GO:0006091,generation of precursor metabolites and ...,385,104,27.81,1.00E-30,4.81E-27,1.12E-28,3.74,BP
GO:0044455,mitochondrial membrane part,219,103,15.92,1.00E-30,6.30E-28,1.34E-29,6.47,CC
GO:0019693,ribose phosphate metabolic process,448,100,32.36,8.30E-25,3.99E-21,5.33E-23,3.09,BP
GO:0009259,ribonucleotide metabolic process,431,99,31.13,1.40E-25,6.74E-22,9.62E-24,3.18,BP
GO:0006163,purine nucleotide metabolic process,446,99,32.22,2.30E-24,1.11E-20,1.33E-22,3.07,BP
GO:0043209,myelin sheath,219,97,15.92,1.00E-30,6.30E-28,1.34E-29,6.09,CC
GO:0009150,purine ribonucleotide metabolic process,421,97,30.41,3.40E-25,1.64E-21,2.24E-23,3.19,BP
GO:0005840,ribosome,227,94,16.5,1.00E-30,6.30E-28,1.34E-29,5.7,CC
GO:0044445,cytosolic part,265,93,19.26,1.00E-30,6.30E-28,1.34E-29,4.83,CC
GO:0009161,ribonucleoside monophosphate metabolic p...,275,86,19.87,1.00E-30,4.81E-27,1.12E-28,4.33,BP
GO:0009123,nucleoside monophosphate metabolic proce...,284,86,20.52,1.00E-30,4.81E-27,1.12E-28,4.19,BP
GO:0009141,nucleoside triphosphate metabolic proces...,295,85,21.31,1.80E-29,8.66E-26,1.77E-27,3.99,BP
GO:0009167,purine ribonucleoside monophosphate meta...,271,84,19.58,1.00E-30,4.81E-27,1.12E-28,4.29,BP
GO:0009126,purine nucleoside monophosphate metaboli...,272,84,19.65,1.00E-30,4.81E-27,1.12E-28,4.27,BP
GO:0009144,purine nucleoside triphosphate metabolic...,279,84,20.15,1.20E-30,5.77E-27,1.31E-28,4.17,BP
GO:0009205,purine ribonucleoside triphosphate metab...,271,83,19.58,1.00E-30,4.81E-27,1.12E-28,4.24,BP
GO:0009199,ribonucleoside triphosphate metabolic pr...,275,83,19.87,2.20E-30,1.06E-26,2.30E-28,4.18,BP
GO:0098800,inner mitochondrial membrane protein com...,130,82,9.45,1.00E-30,6.30E-28,1.34E-29,8.68,CC
GO:0044391,ribosomal subunit,192,81,13.96,1.00E-30,6.30E-28,1.34E-29,5.8,CC
GO:0046034,ATP metabolic process,246,81,17.77,1.00E-30,4.81E-27,1.12E-28,4.56,BP
GO:0015980,energy derivation by oxidation of organi...,262,78,18.93,3.60E-28,1.73E-24,3.15E-26,4.12,BP
GO:0003735,structural constituent of ribosome,151,75,10.88,1.00E-30,8.29E-28,1.66E-28,6.89,MF
GO:0044389,ubiquitin-like protein ligase binding,326,72,23.48,5.50E-18,4.56E-15,3.04E-16,3.07,MF
GO:1903829,positive regulation of cellular protein ...,302,71,21.82,2.90E-19,1.40E-15,1.26E-17,3.25,BP
GO:0031625,ubiquitin protein ligase binding,307,70,22.11,2.60E-18,2.16E-15,1.66E-16,3.17,MF
GO:0045333,cellular respiration,168,67,12.14,1.00E-30,4.81E-27,1.12E-28,5.52,BP
