GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0006996,organelle organization,3599,152,72.34,4.8e-21,2.30976e-17,2.30976e-17,2.1,BP
GO:0071840,cellular component organization or bioge...,6181,214,124.24,2.3e-20,1.10676e-16,5.5338e-17,1.72,BP
GO:0016043,cellular component organization,6004,206,120.68,8.3e-19,3.99396e-15,1.3313200000000001e-15,1.71,BP
GO:0007010,cytoskeleton organization,1323,74,26.59,7.8e-16,3.75336e-12,9.3834e-13,2.78,BP
GO:0009987,cellular process,15679,380,315.15,2.7e-15,1.2992400000000001e-11,2.59848e-12,1.21,BP
GO:0051128,regulation of cellular component organiz...,2590,110,52.06,7.9e-15,3.80148e-11,6.3358e-12,2.11,BP
GO:0043170,macromolecule metabolic process,8366,240,168.16,9.3e-13,4.47516e-9,6.393085714285715e-10,1.43,BP
GO:0044085,cellular component biogenesis,3057,117,61.45,1.2e-12,5.7743999999999994e-9,7.217999999999999e-10,1.9,BP
GO:0044237,cellular metabolic process,9392,260,188.78,1.9e-12,9.1428e-9,1.0158666666666666e-9,1.38,BP
GO:0007017,microtubule-based process,770,48,15.48,3.7e-12,1.78044e-8,1.6623272727272726e-9,3.1,BP
GO:0006807,nitrogen compound metabolic process,8802,247,176.92,3.8e-12,1.82856e-8,1.6623272727272726e-9,1.4,BP
GO:0044260,cellular macromolecule metabolic process,7120,211,143.11,5.3e-12,2.55036e-8,2.1252999999999997e-9,1.47,BP
GO:0022607,cellular component assembly,2829,109,56.86,6.5e-12,3.1278000000000004e-8,2.337257142857143e-9,1.92,BP
GO:0033043,regulation of organelle organization,1260,64,25.33,6.8e-12,3.27216e-8,2.337257142857143e-9,2.53,BP
GO:0044238,primary metabolic process,9317,256,187.27,1.0e-11,4.812e-8,3.208e-9,1.37,BP
GO:0022402,cell cycle process,1128,59,22.67,1.6e-11,7.699199999999999e-8,4.8119999999999995e-9,2.6,BP
GO:0034641,cellular nitrogen compound metabolic pro...,5536,173,111.27,3.4e-11,1.63608e-7,9.623999999999999e-9,1.55,BP
GO:0007049,cell cycle,1659,74,33.35,6.0e-11,2.8872e-7,1.519578947368421e-8,2.22,BP
GO:0051641,cellular localization,2629,101,52.84,6.0e-11,2.8872e-7,1.519578947368421e-8,1.91,BP
GO:0010467,gene expression,4801,155,96.5,6.4e-11,3.0796799999999997e-7,1.53984e-8,1.61,BP
GO:0044267,cellular protein metabolic process,4573,149,91.92,9.8e-11,4.71576e-7,2.2456e-8,1.62,BP
GO:0010564,regulation of cell cycle process,598,39,12.02,1.2e-10,5.7744e-7,2.6247272727272726e-8,3.24,BP
GO:0048522,positive regulation of cellular process,5410,167,108.74,2.7e-10,1.29924e-6,5.4135e-8,1.54,BP
GO:0031323,regulation of cellular metabolic process,5454,168,109.63,2.7e-10,1.29924e-6,5.4135e-8,1.53,BP
GO:0016070,RNA metabolic process,3787,127,76.12,8.2e-10,3.94584e-6,1.578336e-7,1.67,BP
GO:0051246,regulation of protein metabolic process,2720,100,54.67,8.9e-10,4.28268e-6,1.6471846153846153e-7,1.83,BP
GO:0090304,nucleic acid metabolic process,4304,139,86.51,1.1e-09,5.2931999999999996e-6,1.9604444444444444e-7,1.61,BP
GO:0051726,regulation of cell cycle,976,50,19.62,1.3e-09,6.2556e-6,2.2341428571428572e-7,2.55,BP
GO:0034613,cellular protein localization,1709,72,34.35,1.4e-09,6.7368e-6,2.3230344827586208e-7,2.1,BP
GO:0033554,cellular response to stress,1781,74,35.8,1.5e-09,7.218e-6,2.406e-7,2.07,BP
GO:0070727,cellular macromolecule localization,1719,72,34.55,1.8e-09,8.6616e-6,2.794064516129032e-7,2.08,BP
GO:0051171,regulation of nitrogen compound metaboli...,5150,157,103.52,3.6e-09,1.73232e-5,5.4135e-7,1.52,BP
GO:0071704,organic substance metabolic process,9887,258,198.73,4.0e-09,1.9248000000000003e-5,5.802705882352942e-7,1.3,BP
GO:0032268,regulation of cellular protein metabolic...,2529,93,50.83,4.1e-09,1.97292e-5,5.802705882352942e-7,1.83,BP
GO:0019538,protein metabolic process,5210,158,104.72,4.6e-09,2.2135199999999998e-5,6.324342857142858e-7,1.51,BP
GO:0009059,macromolecule biosynthetic process,4105,132,82.51,5.1e-09,2.45412e-5,6.762810810810811e-7,1.6,BP
GO:0008152,metabolic process,10362,267,208.28,5.2e-09,2.50224e-5,6.762810810810811e-7,1.28,BP
GO:0048518,positive regulation of biological proces...,6114,178,122.89,5.8e-09,2.7909599999999998e-5,7.344631578947369e-7,1.45,BP
