GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0097458,neuron part,1982,33,11.01,5.70E-09,3.59E-06,2.11E-07,3,CC
GO:0048699,generation of neurons,1687,31,9.47,2.40E-09,1.15E-05,1.44E-06,3.27,BP
GO:0022008,neurogenesis,1793,31,10.07,1.00E-08,4.81E-05,3.44E-06,3.08,BP
GO:0030182,neuron differentiation,1507,27,8.46,5.50E-08,2.65E-04,9.80E-06,3.19,BP
GO:0045202,synapse,1417,26,7.87,5.20E-08,3.28E-05,1.49E-06,3.3,CC
GO:0006518,peptide metabolic process,749,24,4.21,3.70E-12,1.78E-08,1.78E-08,5.7,BP
GO:0043603,cellular amide metabolic process,970,24,5.45,7.40E-10,3.56E-06,5.93E-07,4.4,BP
GO:0003723,RNA binding,1068,24,6,4.80E-09,3.98E-06,7.96E-07,4,MF
GO:0032989,cellular component morphogenesis,1225,24,6.88,6.70E-08,3.22E-04,1.11E-05,3.49,BP
GO:0007010,cytoskeleton organization,1323,24,7.43,2.80E-07,0.00134736,3.74E-05,3.23,BP
GO:0000902,cell morphogenesis,1114,23,6.25,5.20E-08,2.50E-04,9.62E-06,3.68,BP
GO:1990904,ribonucleoprotein complex,967,22,5.37,1.60E-08,1.01E-05,4.80E-07,4.1,CC
GO:0033043,regulation of organelle organization,1260,22,7.07,1.80E-06,0.0086616,1.49E-04,3.11,BP
GO:0006412,translation,572,21,3.21,7.80E-12,3.75E-08,1.88E-08,6.54,BP
GO:0043043,peptide biosynthetic process,595,21,3.34,1.60E-11,7.70E-08,2.57E-08,6.29,BP
GO:0043604,amide biosynthetic process,701,21,3.94,3.30E-10,1.59E-06,3.97E-07,5.33,BP
GO:0031175,neuron projection development,1097,21,6.16,7.40E-07,0.00356088,7.58E-05,3.41,BP
GO:0048666,neuron development,1238,21,6.95,5.00E-06,0.02406,3.21E-04,3.02,BP
GO:0005198,structural molecule activity,610,20,3.43,1.90E-10,1.58E-07,7.88E-08,5.83,MF
