GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,Ontology
GO:0031090,organelle membrane,1753,106,29.79,1.00E-30,6.30E-28,4.20E-29,3.56,CC
GO:0005739,mitochondrion,1809,106,30.74,1.00E-30,6.30E-28,4.20E-29,3.45,CC
GO:0045202,synapse,1417,92,24.08,6.10E-30,3.84E-27,2.14E-28,3.82,CC
GO:0031967,organelle envelope,1063,79,18.06,2.20E-29,1.39E-26,6.90E-28,4.37,CC
GO:0031975,envelope,1064,79,18.08,2.30E-29,1.45E-26,6.90E-28,4.37,CC
GO:0044429,mitochondrial part,851,66,14.46,1.70E-25,1.07E-22,4.28E-24,4.56,CC
GO:0005740,mitochondrial envelope,663,65,11.27,1.00E-30,6.30E-28,4.20E-29,5.77,CC
GO:0098796,membrane protein complex,1134,64,19.27,1.60E-17,1.01E-14,3.05E-16,3.32,CC
GO:0031966,mitochondrial membrane,619,62,10.52,5.10E-30,3.21E-27,1.89E-28,5.89,CC
GO:0044456,synapse part,1098,62,18.66,5.40E-17,3.40E-14,9.45E-16,3.32,CC
GO:0019637,organophosphate metabolic process,957,61,16.03,1.40E-19,6.74E-16,5.55E-17,3.81,BP
GO:0005743,mitochondrial inner membrane,446,53,7.58,2.60E-29,1.64E-26,7.45E-28,6.99,CC
GO:0019866,organelle inner membrane,489,53,8.31,2.40E-27,1.51E-24,6.30E-26,6.38,CC
GO:0017144,drug metabolic process,727,53,12.18,1.30E-19,6.26E-16,5.55E-17,4.35,BP
GO:0034622,cellular protein-containing complex asse...,1000,53,16.75,9.20E-14,4.43E-10,8.20E-12,3.16,BP
GO:0043209,myelin sheath,219,51,3.72,1.00E-30,6.30E-28,4.20E-29,13.71,CC
GO:1901135,carbohydrate derivative metabolic proces...,1003,51,16.8,1.40E-12,6.74E-09,1.05E-10,3.04,BP
GO:0043603,cellular amide metabolic process,970,50,16.25,1.40E-12,6.74E-09,1.05E-10,3.08,BP
GO:0060341,regulation of cellular localization,971,49,16.26,5.30E-12,2.55E-08,3.64E-10,3.01,BP
GO:0006518,peptide metabolic process,749,48,12.55,1.30E-15,6.26E-12,2.16E-13,3.82,BP
GO:0055114,oxidation-reduction process,878,48,14.71,5.10E-13,2.45E-09,4.09E-11,3.26,BP
GO:0055086,nucleobase-containing small molecule met...,631,47,10.57,8.10E-18,3.90E-14,1.77E-15,4.45,BP
GO:0009117,nucleotide metabolic process,556,46,9.31,3.00E-19,1.44E-15,9.62E-17,4.94,BP
GO:0006753,nucleoside phosphate metabolic process,564,46,9.45,5.30E-19,2.55E-15,1.59E-16,4.87,BP
GO:0016491,oxidoreductase activity,796,43,13.33,1.30E-11,1.08E-08,6.34E-10,3.23,MF
GO:0017111,nucleoside-triphosphatase activity,830,42,13.9,1.80E-10,1.49E-07,7.11E-09,3.02,MF
GO:0009259,ribonucleotide metabolic process,431,41,7.22,2.00E-19,9.62E-16,6.87E-17,5.68,BP
GO:0019693,ribose phosphate metabolic process,448,41,7.5,8.20E-19,3.95E-15,2.19E-16,5.47,BP
GO:0072521,purine-containing compound metabolic pro...,492,41,8.24,2.40E-17,1.15E-13,4.81E-15,4.98,BP
GO:0009150,purine ribonucleotide metabolic process,421,40,7.05,6.00E-19,2.89E-15,1.70E-16,5.67,BP
GO:0006163,purine nucleotide metabolic process,446,40,7.47,4.60E-18,2.21E-14,1.05E-15,5.35,BP
GO:0044455,mitochondrial membrane part,219,39,3.72,2.10E-28,1.32E-25,5.75E-27,10.48,CC
GO:0009161,ribonucleoside monophosphate metabolic p...,275,39,4.61,7.90E-25,3.80E-21,3.80E-21,8.46,BP
GO:0009123,nucleoside monophosphate metabolic proce...,284,39,4.76,2.70E-24,1.30E-20,4.33E-21,8.19,BP
GO:0009167,purine ribonucleoside monophosphate meta...,271,38,4.54,4.90E-24,2.36E-20,5.39E-21,8.37,BP
GO:0009126,purine nucleoside monophosphate metaboli...,272,38,4.56,5.60E-24,2.69E-20,5.39E-21,8.33,BP
GO:0048471,perinuclear region of cytoplasm,656,38,11.15,4.90E-11,3.09E-08,5.94E-10,3.41,CC
GO:0043604,amide biosynthetic process,701,38,11.74,2.10E-10,1.01E-06,1.16E-08,3.24,BP
GO:0046034,ATP metabolic process,246,37,4.12,1.60E-24,7.70E-21,3.85E-21,8.98,BP
GO:0009205,purine ribonucleoside triphosphate metab...,271,37,4.54,5.20E-23,2.50E-19,4.17E-20,8.15,BP
GO:0009199,ribonucleoside triphosphate metabolic pr...,275,37,4.61,8.80E-23,4.23E-19,6.05E-20,8.03,BP
GO:0009144,purine nucleoside triphosphate metabolic...,279,37,4.67,1.50E-22,7.22E-19,9.02E-20,7.92,BP
GO:0009141,nucleoside triphosphate metabolic proces...,295,37,4.94,1.00E-21,4.81E-18,5.35E-19,7.49,BP
GO:0006412,translation,572,37,9.58,2.30E-12,1.11E-08,1.70E-10,3.86,BP
GO:0043043,peptide biosynthetic process,595,37,9.97,7.50E-12,3.61E-08,5.01E-10,3.71,BP
GO:0030424,axon,717,37,12.18,2.20E-09,1.39E-06,2.07E-08,3.04,CC
GO:0098798,mitochondrial protein complex,266,35,4.52,4.60E-21,2.90E-18,9.06E-20,7.74,CC
GO:0006091,generation of precursor metabolites and ...,385,35,6.45,4.20E-16,2.02E-12,7.77E-14,5.43,BP
GO:0099503,secretory vesicle,585,35,9.94,1.20E-10,7.56E-08,1.30E-09,3.52,CC
GO:0005198,structural molecule activity,610,35,10.22,2.50E-10,2.07E-07,9.42E-09,3.42,MF
GO:1903827,regulation of cellular protein localizat...,526,34,8.81,2.00E-11,9.62E-08,1.30E-09,3.86,BP
GO:0098660,inorganic ion transmembrane transport,664,34,11.12,8.50E-09,4.09E-05,3.72E-07,3.06,BP
GO:0098800,inner mitochondrial membrane protein com...,130,33,2.21,1.60E-29,1.01E-26,5.31E-28,14.93,CC
GO:0098793,presynapse,564,33,9.58,7.60E-10,4.79E-07,7.60E-09,3.44,CC
GO:0098662,inorganic cation transmembrane transport,621,33,10.4,5.80E-09,2.79E-05,2.61E-07,3.17,BP
GO:0031625,ubiquitin protein ligase binding,307,28,5.14,3.80E-13,3.15E-10,3.50E-11,5.45,MF
